Freq.	V(vout)
1.00000000000000e-02	1.15648308763843e-06
1.25892541179417e-02	1.45592594733743e-06
1.58489319246111e-02	1.83290217279204e-06
1.99526231496888e-02	2.30748712265757e-06
2.51188643150958e-02	2.90495417609530e-06
3.16227766016838e-02	3.65712063237173e-06
3.98107170553497e-02	4.60404209806513e-06
5.01187233627272e-02	5.79614559417565e-06
6.30957344480194e-02	7.29691497886942e-06
7.94328234724282e-02	9.18627169440643e-06
1.00000000000000e-01	1.15648308753471e-05
1.25892541179417e-01	1.45592594713048e-05
1.58489319246111e-01	1.83290217237913e-05
1.99526231496888e-01	2.30748712183370e-05
2.51188643150958e-01	2.90495417445144e-05
3.16227766016838e-01	3.65712062909181e-05
3.98107170553498e-01	4.60404209152084e-05
5.01187233627273e-01	5.79614558111806e-05
6.30957344480194e-01	7.29691495281609e-05
7.94328234724282e-01	9.18627164242320e-05
1.00000000000000e+00	1.15648307716269e-04
1.25892541179417e+00	1.45592592643558e-04
1.58489319246112e+00	1.83290213108738e-04
1.99526231496888e+00	2.30748703944584e-04
2.51188643150958e+00	2.90495401006606e-04
3.16227766016838e+00	3.65712030109986e-04
3.98107170553498e+00	4.60404143709088e-04
5.01187233627273e+00	5.79614427535874e-04
6.30957344480194e+00	7.29691234748405e-04
7.94328234724283e+00	9.18626644410342e-04
1.00000000000000e+01	1.15648203996186e-03
1.25892541179417e+01	1.45592385694890e-03
1.58489319246112e+01	1.83289800192191e-03
1.99526231496888e+01	2.30747880068802e-03
2.51188643150958e+01	2.90493757161609e-03
3.16227766016839e+01	3.65708750218458e-03
3.98107170553498e+01	4.60397599498161e-03
5.01187233627273e+01	5.79601370222895e-03
6.30957344480195e+01	7.29665182314224e-03
7.94328234724283e+01	9.18574664014804e-03
1.00000000000000e+02	1.15637832874067e-02
1.25892541179417e+02	1.45571693630220e-02
1.58489319246112e+02	1.83248517397779e-02
1.99526231496888e+02	2.30665520505971e-02
2.51188643150959e+02	2.90329461236650e-02
3.16227766016839e+02	3.65381041074844e-02
3.98107170553498e+02	4.59744063427344e-02
5.01187233627274e+02	5.78298435383513e-02
6.30957344480195e+02	7.27068770938250e-02
7.94328234724284e+02	9.13404498196365e-02
1.00000000000000e+03	1.14609507369632e-01
1.25892541179417e+03	1.43530135249170e-01
1.58489319246112e+03	1.79206986339920e-01
1.99526231496889e+03	2.22700533382074e-01
2.51188643150959e+03	2.74740457738981e-01
3.16227766016839e+03	3.35190511004422e-01
3.98107170553499e+03	4.02188365976266e-01
5.01187233627274e+03	4.71042278818855e-01
6.30957344480195e+03	5.33388162982312e-01
7.94328234724284e+03	5.77705851488205e-01
1.00000000000000e+04	5.92316945204387e-01
1.25892541179417e+04	5.70341767751618e-01
1.58489319246112e+04	5.13517364697772e-01
1.99526231496889e+04	4.31759427304949e-01
2.51188643150959e+04	-3.38992722031375e-01
3.16227766016839e+04	-2.48534376648834e-01
3.98107170553499e+04	-1.70191717305457e-01
5.01187233627274e+04	-1.09093057276022e-01
6.30957344480196e+04	-6.58263018965935e-02
7.94328234724285e+04	-3.77257842899330e-02
1.00000000000000e+05	-2.07571663230685e-02
1.25892541179417e+05	-1.10800662223826e-02
1.58489319246112e+05	-5.78928945659767e-03
1.99526231496889e+05	-2.98115921774554e-03
2.51188643150959e+05	-1.52038065694640e-03
3.16227766016839e+05	-7.70526442227969e-04
3.98107170553499e+05	-3.88922481658046e-04
5.01187233627275e+05	-1.95800378688806e-04
6.30957344480196e+05	-9.84120324566525e-05
7.94328234724285e+05	-4.94115902142500e-05
1.00000000000000e+06	-2.47925966979135e-05
1.25892541179417e+06	-1.24346466875803e-05
1.58489319246112e+06	-6.23490805656966e-06
1.99526231496889e+06	-3.12574930000949e-06
2.51188643150959e+06	-1.56686815366922e-06
3.16227766016839e+06	-7.85383677368503e-07
3.98107170553499e+06	-3.93652536280601e-07
5.01187233627275e+06	-1.97302564417916e-07
6.30957344480196e+06	-9.88883533258634e-08
7.94328234724285e+06	-4.95624742178756e-08
1.00000000000001e+07	-2.48403620530259e-08
1.25892541179417e+07	-1.24497617413550e-08
1.58489319246112e+07	-6.23968991808030e-09
1.99526231496889e+07	-3.12726186906564e-09
2.00000000000000e+07	-3.10509057178844e-09
